hour,G1,G1_heat,G2,G2_heat,G3,G3_heat,G4,G4_heat,G5,G5_heat,G6,G6_heat,G7,G8,a,b,a_charge,b_charge,a_discharge,b_discharge,Wind_Power
0,166.66666666666663,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,80.0,295.0000000000001,0.0,500.0,100.0,100.0,0.0,0.0,255.0
1,166.66666666666663,222.22222222222217,291.6666666666667,388.88888888888886,291.6666666666667,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,88.99521531100466,386.00478468899536,100.0,600.0,100.0,100.0,0.0,0.0,233.0
2,166.66666666666663,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,112.08612440191375,489.91387559808635,200.0,700.0,100.0,100.0,0.0,0.0,194.0
3,166.66666666666669,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,130.0,438.00000000000006,300.0,800.0,100.0,100.0,0.0,0.0,186.0
4,116.66666666666669,155.55555555555557,268.33907123050847,357.78542830734466,268.33907123050847,357.78542830734466,200.0,266.6666666666667,200.0,266.6666666666667,200.0,266.6666666666667,80.0,308.00000000000006,400.0,900.0,0.0,0.0,28.87358782975508,100.0,470.6551908723164
5,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,200.0,266.6666666666667,200.0,266.6666666666667,200.0,266.6666666666667,80.0,200.0,371.1264121702449,800.0,0.0,0.0,51.09581005197629,100.0,623.3218575389822
6,100.0,133.33333333333334,282.2717391304347,376.3623188405796,282.2717391304347,376.3623188405796,213.15217391304353,284.2028985507247,213.15217391304353,284.2028985507247,213.15217391304353,284.2028985507247,80.0,200.0,320.03060211826926,700.0,0.0,0.0,13.94202898550759,47.39130434782601,678.0
7,116.66666666666669,155.55555555555557,280.89492753623193,374.5265700483092,280.89492753623193,374.5265700483092,211.84782608695647,282.46376811594195,211.84782608695647,282.46376811594195,211.84782608695647,282.46376811594195,80.0,208.99999999999994,306.08857313276155,652.608695652174,4.608695652173992,0.0,0.0,52.60869565217399,797.0
8,166.66666666666669,222.22222222222217,291.6666666666667,388.88888888888886,291.6666666666667,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,130.0,338.99999999999994,310.69726878493555,600.0,100.0,100.0,0.0,0.0,381.00000000000006
9,166.66666666666663,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,80.0,221.0000000000001,410.69726878493555,700.0,100.0,100.0,0.0,0.0,381.0
10,166.66666666666663,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,80.0,263.0000000000001,510.69726878493555,800.0,100.0,100.0,0.0,0.0,255.0
11,164.66666666666666,219.55555555555554,291.6666666666667,388.88888888888886,291.6666666666667,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,80.0,200.0,610.6972687849355,900.0,97.33333333333337,100.0,0.0,0.0,260.0
12,114.66666666666666,152.88888888888889,288.6666666666667,384.8888888888889,288.6666666666667,384.8888888888889,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,708.0306021182689,1000.0,22.666666666666742,0.0,0.0,0.0,268.0
13,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,730.6972687849357,1000.0,0.0,0.0,51.09581005197629,0.0,268.32185753898216
14,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,679.6014587329595,1000.0,0.0,0.0,51.09581005197629,73.411648150303,263.3805936517115
15,100.0,133.33333333333334,268.3390712305091,357.78542830734546,268.3390712305091,357.78542830734546,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,628.5056486809832,926.588351849697,0.0,0.0,51.09581005197586,73.41164815030572,245.38059365171114
16,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,577.4098386290068,853.1767036993913,0.0,0.0,51.09581005197629,73.4116481503059,165.38059365171148
17,100.0,133.33333333333334,287.5,383.33333333333337,287.5,383.33333333333337,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,526.3140285770301,779.7650555490854,0.0,0.0,0.0,73.4116481503059,121.05873611272932
18,100.0,133.33333333333334,287.5,383.33333333333337,287.5,383.33333333333337,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,526.3140285770301,706.3534073987795,0.0,0.0,0.0,73.41164815030561,119.05873611272932
19,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,526.3140285770301,632.9417592484739,0.0,0.0,51.09581005197629,73.41164815030572,179.38059365171148
20,100.0,133.33333333333334,268.33907123050756,357.7854283073434,268.33907123050756,357.7854283073434,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,475.21821852505377,559.5301110981682,0.0,0.0,51.09581005197989,73.41164815030572,233.3805936517142
21,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796243312,275.5294506165775,206.64708796243312,275.5294506165775,206.64708796243312,275.5294506165775,80.0,200.0,424.12240847307385,486.11846294786244,0.0,0.0,51.09581005197629,73.4116481502673,255.38059365168283
22,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,373.02659842109756,412.70681479759514,0.0,0.0,51.09581005197629,0.0,272.32185753898216
23,100.0,133.33333333333334,291.6666666666667,388.88888888888886,291.6666666666667,388.88888888888886,240.2222222222222,320.29629629629625,240.2222222222222,320.29629629629625,240.2222222222222,320.29629629629625,80.0,200.0,321.9307883691213,412.70681479759514,11.111111111111086,60.8888888888888,0.0,0.0,262.0
