hour,G1,G1_heat,G2,G2_heat,G3,G3_heat,G4,G4_heat,G5,G5_heat,G6,G6_heat,G7,G8,a,b,a_charge,b_charge,a_discharge,b_discharge,Wind_Power
10,164.57289395336082,219.43052527114776,291.6666666666667,388.88888888888886,291.6666666666667,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,80.0,265.09377271330584,496.510892303637,487.293185202451,97.20830304892559,100.0,0.0,0.0,255.0
11,114.57289395336082,152.7638586044811,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,593.7191953525626,587.293185202451,0.0,0.0,31.665284780828415,0.0,431.74896358562137
12,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,562.0539105717341,587.293185202451,0.0,0.0,51.09581005197629,73.41164815030662,378.38059365171205
13,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,510.95810051975786,513.8815370521444,0.0,0.0,51.09581005197629,0.0,268.32185753898216
14,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,459.86229046778135,513.8815370521444,0.0,0.0,51.09581005197629,73.41164815030662,263.38059365171205
15,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,408.76648041580506,440.4698889018377,0.0,0.0,51.09581005197629,73.41164815030662,245.38059365171205
16,100.0,133.33333333333334,268.33907123051017,357.78542830734693,268.33907123051017,357.78542830734693,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,357.67067036382855,367.05824075153106,0.0,0.0,51.09581005197283,0.0,110.32185753897966
17,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,306.57486031185545,367.05824075153106,0.0,0.0,51.09581005197629,73.41164815030662,159.38059365171205
18,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242383,275.5294506165651,206.64708796242383,275.5294506165651,206.64708796242383,275.5294506165651,80.0,200.0,255.47905025987893,293.6465926012244,0.0,0.0,51.09581005197629,73.4116481503046,157.38059365171068
19,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,204.38324020790265,220.23494445091984,0.0,0.0,51.09581005197629,73.41164815030662,179.38059365171205
20,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,153.28743015592886,146.82329630061324,0.0,0.0,51.09581005197629,73.41164815030662,233.38059365171205
21,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,102.19162010395257,73.41164815030662,0.0,0.0,51.09581005197629,73.41164815030662,255.38059365171205
22,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,51.09581005197629,0.0,0.0,0.0,51.09581005197629,0.0,272.32185753898216
23,100.0,133.33333333333334,287.5,383.33333333333337,287.5,383.33333333333337,225.0,300.0,225.0,300.0,225.0,300.0,80.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0
